cell_id,iso,year,predicted_GCP_const_2017_USD,predicted_GCP_current_USD,predicted_GCP_const_2017_PPP,predicted_GCP_current_PPP,pop_cell,cell_GDPC_const_2017_USD,cell_GDPC_current_USD,cell_GDPC_const_2017_PPP,cell_GDPC_current_PPP,subcell_id,subcell_id_0_25,is_cell_censored,method,cell_size,national_population,longitude,latitude
28190,VEN,2021,0.0460944800416535,0.0504054745779233,0.134167881916651,0.147872142081928,27781,1.65920881327719e-6,1.81438661595779e-6,4.8294835289101e-6,5.32277967250739e-6,2,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70.75,11
28190,VEN,2021,0.0079166125495729,0.00865701516212288,0.0230430007404607,0.0253966734125248,3454,2.29201289796552e-6,2.50637381648028e-6,6.67139569787515e-6,7.35282959250862e-6,3,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70.5,11.75
28190,VEN,2021,0.0799105055787763,0.0873841499854244,0.232596685475239,0.25635472238987,29112,2.74493355244491e-6,3.00165395663041e-6,7.98971851728629e-6,8.80580937035825e-6,3,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70.25,11.75
28190,VEN,2021,0.506664718750752,0.554050627698664,1.47475645880494,1.62539196041061,244788,2.0698102797145e-6,2.26338965839283e-6,6.0246272644286e-6,6.63999853101711e-6,3,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70.25,11.5
28190,VEN,2021,6.5011080670252e-4,7.1091253682577e-4,0.00189228709961762,0.00208557027849843,272,2.39011325993574e-6,2.61364903244772e-6,6.95693786624124e-6,7.66753778859718e-6,4,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70.5,11.25
28190,VEN,2021,0.0127521078084142,0.0139447509847407,0.0371177480054366,0.0409090523634474,8335,1.52994694762019e-6,1.67303551106668e-6,4.45323911282985e-6,4.90810466268118e-6,4,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70.5,11
28190,VEN,2021,0.00407743216441795,0.00445877474094625,0.011868241851615,0.0130804952740845,2461,1.65681924600486e-6,1.81177356397654e-6,4.82252818025802e-6,5.31511388625947e-6,4,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70.25,11.25
28190,VEN,2021,0.0127492945734808,0.0139416746415042,0.0371095594810838,0.0409000274416909,9559,1.33374773234447e-6,1.45848672889467e-6,3.88215916739029e-6,4.27869311033485e-6,4,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70.25,11
28191,VEN,2021,0.0562300808806137,0.061489009308297,0.163669724551324,0.180387380479021,33698,1.66864742360418e-6,1.8247079740132e-6,4.8569566309966e-6,5.35305894946349e-6,1,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70,11.75
28191,VEN,2021,0.0190468172580666,0.0208281742678138,0.0554398515062768,0.0611026236817987,7132,2.67061374902784e-6,2.92038338023188e-6,7.77339477093055e-6,8.56738974786856e-6,1,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70,11.5
28191,VEN,2021,5.840387530583e-4,6.3866108248102e-4,0.001699970199995,0.0018736096251774,101,5.78256191146839e-6,6.32337705426759e-6,1.68313881187623e-5,1.85505903482911e-5,1,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.75,11.5
28191,VEN,2021,0.0086936266142524,0.00950669960695226,0.0253046670220478,0.0278893522336789,5151,1.68775511827847e-6,1.84560271926854e-6,4.91257367929486e-6,5.41435686928342e-6,2,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70,11.25
28191,VEN,2021,0.00397663847236099,0.0043485543007113,0.0115748601676992,0.0127571468137192,2560,1.55337440326601e-6,1.69865402371535e-6,4.52142975300749e-6,4.98326047410906e-6,2,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-70,11
28191,VEN,2021,0.462225032817725,0.505454712146001,1.34540521047136,1.4828284355281,242107,1.90917665667546e-6,2.08773274686813e-6,5.55706861210688e-6,6.12468220880892e-6,2,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.75,11.25
28191,VEN,2021,0.0239129893082459,0.026149455934197,0.0696038901595946,0.0767134144782015,21316,1.12183286302523e-6,1.22675248330817e-6,3.26533543627295e-6,3.59886538178838e-6,2,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.75,11
28191,VEN,2021,0.00752026179220224,0.00822359562888303,0.0218893367537008,0.0241251711533555,4610,1.63129323041263e-6,1.78386022318503e-6,4.74822923073768e-6,5.23322584671485e-6,3,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.5,11.5
28191,VEN,2021,4.2417014579952e-4,4.6384073497501e-4,0.00123463829037169,0.0013607474910206,239,1.77477048451684e-6,1.9407562132846e-6,5.16585058732927e-6,5.69350414652972e-6,3,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.25,11.5
28191,VEN,2021,0.0585592060245111,0.0640359663001848,0.170449143410006,0.187859267001957,36368,1.61018494348084e-6,1.76077777992149e-6,4.68678902909167e-6,5.16550998135607e-6,4,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.5,11.25
28191,VEN,2021,0.00420401903591296,0.00459720067236525,0.0122367001227917,0.0134865888416983,3075,1.36716066208552e-6,1.49502460889927e-6,3.97941467407863e-6,4.38588255014581e-6,4,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.5,11
28191,VEN,2021,0.014798719324362,0.0161827722108131,0.0430748502865081,0.0474746287317948,8201,1.80450180762859e-6,1.97326816373774e-6,5.25238998738061e-6,5.7888829084008e-6,4,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.25,11.25
28191,VEN,2021,6.9056584995077e-4,7.5515114526991e-4,0.00201004018980456,0.00221535097887147,527,1.31037163178516e-6,1.43292437432622e-6,3.81411800721929e-6,4.20370204719445e-6,4,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69.25,11
28192,VEN,2021,0.00468302685162112,0.00512100778019,0.0136309552265918,0.0150232568270784,2712,1.72677981254466e-6,1.88827720508481e-6,5.02616343163414e-6,5.53954897753628e-6,2,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69,11.25
28192,VEN,2021,0.0101938923760361,0.0111472779939388,0.0296715126701318,0.0327022389760103,6602,1.54406125053561e-6,1.68846985670081e-6,4.49432182219506e-6,4.95338366798095e-6,2,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-69,11
28192,VEN,2021,0.00191976550483551,0.00209931191895682,0.00558788972839428,0.00615865147493779,1211,1.58527291893931e-6,1.73353585380414e-6,4.6142772323652e-6,5.08559163908982e-6,2,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-68.75,11.25
28192,VEN,2021,0.0218730379589072,0.0239187177680136,0.0636661737235601,0.0701692040760657,16248,1.34619879116859e-6,1.47210227523472e-6,3.91840064768342e-6,4.31863639069829e-6,2,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-68.75,11
28192,VEN,2021,0.0204797206155187,0.0223950901694881,0.0596106244119887,0.0656994102964075,15050,1.36077877843978e-6,1.48804585843775e-6,3.96083883136137e-6,4.36540932202043e-6,4,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-68.5,11
28194,VEN,2021,0,0,0,0,0,0,0,0,0,1,3,1,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-66.75,11.75
28194,VEN,2021,3.9790457028746e-4,4.3511866678917e-4,0.00115818669290081,0.00127648692640478,160,2.48690356429668e-6,2.71949166743234e-6,7.23866683063004e-6,7.9780432900299e-6,3,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-66.25,11.75
28196,VEN,2021,1.3113183512575e-4,1.4339596359075e-4,3.8168736375305e-4,4.2067391448298e-4,20,6.55659175628792e-6,7.16979817953787e-6,1.90843681876527e-5,2.10336957241491e-5,1,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-64.75,11.75
28196,VEN,2021,0.0161633886489277,0.017675072479403,0.0470470133877765,0.0518525190144202,10503,1.53893065304462e-6,1.68285941915671e-6,4.47938811651684e-6,4.93692459434638e-6,4,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-64.5,11
28196,VEN,2021,0.0058758026017698,0.00642533809689935,0.0171027851692309,0.0188497086069548,2793,2.10376033002857e-6,2.30051489326865e-6,6.1234461758793e-6,6.7489110658628e-6,4,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-64.25,11
28197,VEN,2021,0.253313303238885,0.277004475484248,0.737322762425337,0.812634847685313,172366,1.46962453870766e-6,1.60707143801125e-6,4.277657788806e-6,4.71458900064579e-6,2,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-64,11
28548,VEN,2021,4.17344810156132e-5,4.56377058588e-5,1.2147716853939e-4,1.3388516587841e-4,20,2.08672405078066e-6,2.28188529294e-6,6.07385842696952e-6,6.69425829392096e-6,1,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-73,10.5
28548,VEN,2021,1.1525328691324e-4,1.2603237130081e-4,3.3546943961855e-4,3.6973517007771e-4,75,1.5367104921766e-6,1.6804316173442e-6,4.47292586158073e-6,4.92980226770285e-6,1,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.75,10.75
28548,VEN,2021,1.2257933735128e-4,1.340435919237e-4,3.5679348252343e-4,3.9323730678245e-4,79,1.55163718166182e-6,1.69675432814818e-6,4.51637319649914e-6,4.97768742762604e-6,1,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.75,10.5
28548,VEN,2021,1.0080288591926e-4,1.1023049395488e-4,2.9340844462617e-4,3.2337795448505e-4,30,3.36009619730889e-6,3.67434979849605e-6,9.78028148753917e-6,1.07792651495019e-5,2,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-73,10.25
28548,VEN,2021,2.9711079558409e-4,3.2489813617829e-4,8.6480476842492e-4,9.5313820090788e-4,210,1.41481331230522e-6,1.54713398180139e-6,4.11811794488057e-6,4.53875333765659e-6,2,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-73,10
28548,VEN,2021,2.6933236237965e-4,2.9452172001228e-4,7.839496737881e-4,8.6402435434951e-4,209,1.28867159033329e-6,1.40919483259468e-6,3.75095537697658e-6,4.1340878198541e-6,2,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.75,10.25
28548,VEN,2021,0.0920000057704047,0.100604322856845,0.267785771731901,0.295138114423374,64020,1.43705101172141e-6,1.57145146605507e-6,4.18284554407842e-6,4.61009238399521e-6,2,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.75,10
28548,VEN,2021,0.00327265169751257,0.00357872703612885,0.00952575549413754,0.0104987412020253,2481,1.31908573055726e-6,1.44245346075326e-6,3.83948226285269e-6,4.23165707457689e-6,3,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.5,10.75
28548,VEN,2021,0.00544713359563266,0.00595657774486449,0.0158550519798173,0.0174745286694797,4551,1.19690916186171e-6,1.30885030649626e-6,3.4838611249873e-6,3.83971185881776e-6,3,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.5,10.5
28548,VEN,2021,0.0118169304135672,0.0129221109558433,0.0343957133893704,0.0379089819758942,8410,1.40510468651215e-6,1.53651735503487e-6,4.08985890480027e-6,4.50760784493391e-6,3,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.25,10.75
28548,VEN,2021,0.0291392903774429,0.0318645477508728,0.0848161616523904,0.0934795073719463,19329,1.50754257216839e-6,1.64853576237119e-6,4.38802636724042e-6,4.83623091582317e-6,3,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.25,10.5
28548,VEN,2021,0.103849724060387,0.113562288181143,0.302276921276038,0.333152280653769,61999,1.67502256585407e-6,1.83167935258862e-6,4.87551285143367e-6,5.3735105510374e-6,4,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.5,10.25
28548,VEN,2021,0.0569706050035444,0.0622987910830126,0.165825179022055,0.182762998735744,29200,1.95104811655974e-6,2.13352024256892e-6,5.67894448705666e-6,6.25900680601863e-6,4,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.5,10
28548,VEN,2021,0.0283306854886818,0.0309803179444578,0.0824625434938931,0.0908854844674473,10785,2.62686003603911e-6,2.87253759336651e-6,7.64604019414864e-6,8.42702683981894e-6,4,3,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.25,10.25
28548,VEN,2021,0.0140227591518935,0.0153342402236533,0.0408162515845009,0.0449853308208629,6911,2.02904921891094e-6,2.2188164120465e-6,5.90598344443654e-6,6.50923611935508e-6,4,4,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72.25,10
28549,VEN,2021,0.132206269131831,0.144570884230491,0.384814734638326,0.424120723251842,81663,1.61892496151049e-6,1.77033520970931e-6,4.71222872828975e-6,5.19354815830722e-6,1,1,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72,10.75
28549,VEN,2021,0.216841518801969,0.237121660848196,0.631163802324262,0.695632532324265,119325,1.81723460131548e-6,1.9871917942442702e-06,5.28945151748807e-6,5.82973000062239e-6,1,2,0,post-adjust zero GDP for pop density = 0,0_25-deg by 0_25-deg,27586000,-72,10.5
